Frame Rate:,29.9700000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,0.7449382716049383,0.19478395061728396,0.4104320987654321,1.6295987654320987
2,00:00:00.067,0.9403703703703705,0.3433024691358025,0.48030864197530865,1.9975
3,00:00:00.100,1.0307098765432097,0.3957098765432099,0.5376851851851852,2.1587345679012344
4,00:00:00.133,0.8273456790123457,0.24089506172839506,0.4705246913580247,1.7706172839506173
5,00:00:00.167,0.9984156378600825,0.37530864197530867,0.5069753086419753,2.112962962962963
6,00:00:00.200,0.9597736625514403,0.3326543209876543,0.5015432098765432,2.0451234567901233
7,00:00:00.234,1.0570061728395062,0.4089506172839506,0.5244753086419753,2.2375925925925926
8,00:00:00.267,0.9895987654320987,0.40901234567901235,0.48277777777777775,2.077006172839506
9,00:00:00.300,1.0014094650205763,0.40453703703703703,0.5276234567901235,2.072067901234568
10,00:00:00.334,0.9297942386831276,0.35203703703703704,0.5286728395061728,1.908672839506173
11,00:00:00.367,1.0135185185185185,0.39447530864197533,0.5106172839506172,2.135462962962963
12,00:00:00.400,1.0517283950617282,0.3920061728395062,0.5266049382716049,2.236574074074074
13,00:00:00.434,1.0114609053497943,0.391141975308642,0.5277160493827161,2.115524691358025
14,00:00:00.467,1.0808230452674896,0.421358024691358,0.5325,2.288611111111111
15,00:00:00.501,1.0900720164609055,0.4307716049382716,0.518858024691358,2.3205864197530865
16,00:00:00.534,1.0780864197530864,0.48669753086419754,0.5341975308641975,2.213364197530864
17,00:00:00.567,1.0547736625514403,0.43444444444444447,0.5567283950617284,2.1731481481481483
18,00:00:00.601,1.0837654320987655,0.44243827160493826,0.5404629629629629,2.2683950617283952
19,00:00:00.634,1.0051028806584361,0.42583333333333334,0.5159876543209877,2.0734876543209877
20,00:00:00.667,1.1498456790123457,0.5645370370370371,0.5572222222222222,2.327777777777778
21,00:00:00.701,1.153261316872428,0.5080555555555556,0.5508641975308642,2.400864197530864
22,00:00:00.734,1.0920576131687243,0.4735185185185185,0.5448148148148149,2.2578395061728394
23,00:00:00.767,1.0897633744855968,0.43959876543209875,0.5575,2.2721913580246915
24,00:00:00.801,1.1250411522633745,0.5358333333333334,0.5565123456790123,2.2827777777777776
