Timecode List:,00:00:30.030
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,900,00:00:30.030,30.030,900,00:00:30.030,30.030
2,900,00:00:30.030,30.030,901,00:00:30.063,30.063,1,00:00:00.033,0.033
