Frame Rate:,29.9700000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,0.0,0.0,0.0,0.0
2,00:00:00.067,1.29323727933541,0.0,3.8797118380062305,0.0
3,00:00:00.100,2.4226116303219105,0.0,7.267834890965732,0.0
4,00:00:00.133,4.216939252336449,0.0,12.650817757009346,0.0
5,00:00:00.167,7.0944574247144345,0.0,21.283372274143304,0.0
6,00:00:00.200,0.5686786085150571,0.0,1.7060358255451713,0.0
7,00:00:00.234,2.867056074766355,0.0,8.601168224299066,0.0
8,00:00:00.267,5.824701453790239,0.0,17.474104361370717,0.0
9,00:00:00.300,4.306814641744548,0.05272585669781932,12.831542056074767,0.03617601246105919
10,00:00:00.334,3.4992082035306336,1.1518302180685358,8.594781931464174,0.7510124610591901
11,00:00:00.367,2.6631100726895123,1.498481308411215,5.043224299065421,1.4476246105919004
12,00:00:00.400,2.583177570093458,2.165809968847352,4.008917445482866,1.5748052959501557
13,00:00:00.434,2.909177050882659,2.819158878504673,4.065926791277259,1.8424454828660437
14,00:00:00.467,2.872741433021807,2.5482476635514018,3.873676012461059,2.1963006230529594
15,00:00:00.501,2.9243120456905505,2.4676791277258565,3.8848520249221186,2.420404984423676
16,00:00:00.534,3.109319833852544,2.6970015576323987,3.911682242990654,2.7192757009345794
17,00:00:00.567,3.5774532710280376,3.6030763239875387,4.150389408099689,2.9788940809968847
18,00:00:00.601,3.817107995846314,3.388045171339564,4.722001557632399,3.3412772585669783
19,00:00:00.634,3.9643691588785046,2.821456386292835,5.550584112149533,3.5210669781931463
20,00:00:00.667,4.500623052959502,3.489057632398754,6.071378504672897,3.9414330218068536
21,00:00:00.701,5.134319833852544,3.833372274143302,6.8882398753894085,4.681347352024922
22,00:00:00.734,5.593951194184839,3.9166666666666665,7.976947040498442,4.8882398753894085
23,00:00:00.767,5.805153167185877,4.077102803738318,8.085319314641744,5.2530373831775705
24,00:00:00.801,5.410578920041537,3.185903426791277,8.18278816199377,4.8630451713395635
25,00:00:00.834,2.314226375908619,1.2360981308411214,4.427609034267912,1.2789719626168223
26,00:00:00.868,1.732061266874351,0.8928738317757009,3.3416277258566978,0.9616822429906542
27,00:00:00.901,0.7372403946002076,0.45771028037383177,1.2161604361370717,0.5378504672897196
28,00:00:00.934,0.1546079958463136,0.06787383177570093,0.360708722741433,0.03524143302180685
29,00:00:00.968,0.33242471443406024,0.48045171339563864,0.22161214953271027,0.2952102803738318
30,00:00:01.001,1.165978712357217,1.0279595015576324,0.8815809968847352,1.5883956386292835
31,00:00:01.034,1.6951323987538942,1.2697429906542057,1.3399532710280373,2.4757009345794394
32,00:00:01.068,2.2379543094496364,1.5672507788161993,1.6276479750778816,3.518964174454829
33,00:00:01.101,2.5337876427829698,1.6166666666666667,1.68345015576324,4.301246105919003
34,00:00:01.134,2.769755970924195,2.1089953271028037,1.7294392523364486,4.470833333333333
35,00:00:01.168,2.882982866043614,2.257827102803738,1.858411214953271,4.5327102803738315
